Gene id	PTTSmmMPDMSO1	PTTSmmMPGL1
0610005C13Rik	0.243305	0.271947
0610007P14Rik	2.195120	3.083598
0610009B22Rik	6.436336	8.860038
0610009E02Rik	0.377808	0.377105
0610009L18Rik	1.645593	2.047396
0610009O20Rik	5.547292	6.265660
0610010F05Rik	4.606350	6.789124
0610010K14Rik	1.858072	2.330720
0610011F06Rik	2.653402	2.972597
0610030E20Rik	3.757680	4.491795
0610031O16Rik	0.025531	0.055656
0610037L13Rik	1.471914	2.022411
0610040B10Rik	0.239753	0.312598
0610040F04Rik	0.049207	0.085073
0610040J01Rik	0.846201	0.943240
0610043K17Rik	0.364989	0.420981
1010001B22Rik	0.280480	0.189750
1010001N08Rik	0.153238	0.220295
1100001G20Rik	0.176879	0.398873
1110001J03Rik	2.090854	2.621997
1110002E22Rik	0.016482	0.036238
1110002J07Rik	0.155629	0.256635
1110002O04Rik	0.021021	0.056884
1110004E09Rik	1.533562	1.597174
1110004F10Rik	18.122810	23.362100
1110007C09Rik	75.729694	85.885733
1110008E08Rik	0.031464	0.042572
1110008F13Rik	6.868953	7.862839
1110008L16Rik	1.096153	1.383005
1110008P14Rik	7.319436	8.261861
1110012L19Rik	5.029530	6.633438
1110015O18Rik	0.004255	0.040302
1110017D15Rik	0.156491	0.390901
1110018N20Rik	0.022567	0.045802
1110019D14Rik	1.036859	1.288048
1110020A21Rik	0.152199	0.183049
1110025L11Rik	0.058608	0.079298
1110028F18Rik	0.015808	0.053472
1110032A03Rik	1.269869	1.388785
1110032F04Rik	0.010350	0.021006
1110034G24Rik	1.881271	2.419806
1110036E04Rik	0.029217	0.098828
1110037F02Rik	6.528878	8.332238
1110038B12Rik	0.417871	0.582528
1110038F14Rik	5.695010	5.662085
1110046J04Rik	0.858895	1.268506
1110051M20Rik	1.285427	1.539644
1110057K04Rik	10.726648	12.802804
1110057P08Rik	0.000000	0.036291
1110058L19Rik	4.164708	6.404992
1110059E24Rik	0.394988	0.543064
1110059G10Rik	1.264666	1.715372
1110065P20Rik	1.397785	1.770998
1190002F15Rik	0.052637	0.053415
1190002N15Rik	2.739220	4.058249
1190003K10Rik	0.029628	0.066813
1190005I06Rik	0.537474	0.577499
1190007I07Rik	1.521606	1.881685
1200007C13Rik	0.012500	0.078928
1200014J11Rik	1.235325	1.700720
1300002E11Rik	0.549435	0.839860
1300002K09Rik	8.591703	10.507663
1300017J02Rik	0.068971	0.090209
1500002F19Rik	0.212639	0.287707
1500009C09Rik	0.021791	0.051597
1500009L16Rik	0.045135	0.035624
1500011B03Rik	2.352448	2.538887
1500011K16Rik	5.892900	7.174064
1500012F01Rik	2.627701	3.179772
1500012K07Rik	0.027226	0.042100
1500015A07Rik	0.708664	0.977286
1500015L24Rik	0.052217	0.088314
1500015O10Rik	0.150257	0.304955
1500017E21Rik	0.073672	0.099681
1500026H17Rik	0.068129	0.092181
1500035N22Rik	0.411714	0.504839
1520401A03Rik	0.032376	0.103256
1600002D24Rik	0.026418	0.028595
1600002H07Rik	0.948110	1.207952
1600002K03Rik	4.523959	6.895279
1600010M07Rik	0.594575	0.650431
1600012H06Rik	7.718887	9.986830
1600012P17Rik	0.030139	0.069908
1600014C10Rik	2.179302	2.437030
1600014C23Rik	0.023712	0.096250
1600014K23Rik	0.013302	0.017998
1600015I10Rik	0.037216	0.039165
1600016N20Rik	0.043267	0.071551
1600019K03Rik	0.000000	0.210833
1600020E01Rik	1.188412	1.600061
1600025M17Rik	0.000000	0.034710
1700001C02Rik	0.026366	0.047565
1700001C19Rik	0.032759	0.088648
1700001D01Rik	0.211114	0.571290
1700001F09Rik	0.074937	0.000000
1700001G01Rik	0.050214	0.118897
1700001G11Rik	0.107604	0.123193
1700001J03Rik	0.431825	0.564798
1700001J04Rik	0.020887	0.113042
1700001K19Rik	1.213970	1.137145
1700001L05Rik	0.299667	0.322414
1700001L19Rik	0.023071	0.062432
1700001O22Rik	0.030687	0.074737
1700001P01Rik	0.151904	0.333989
1700003C15Rik	0.306775	0.249047
1700003E16Rik	0.012700	0.034366
1700003E24Rik	0.098168	0.132825
1700003F12Rik	0.542085	0.756380
1700003G13Rik	0.000000	0.036794
1700003H04Rik	0.033485	0.060409
1700003I22Rik	0.023770	0.096483
1700003L19Rik	0.018101	0.048983
1700003M02Rik	0.064255	0.086940
1700003M07Rik	0.018042	0.021971
1700003P14Rik	0.031140	0.052666
1700006A11Rik	0.030159	0.068011
1700006E09Rik	0.965172	1.718303
1700006F04Rik	0.000000	0.116513
1700006H21Rik	0.031414	0.021252
1700006J14Rik	0.074132	0.164131
1700007B14Rik	0.017680	0.071765
1700007F19Rik	0.031731	0.059033
1700007G11Rik	0.015068	0.050969
1700007J10Rik	0.365586	0.337262
1700007K09Rik	0.119302	0.115299
1700007K13Rik	0.041907	0.028351
1700007L15Rik	0.406048	0.560170
